INSDC Sequence accession,UniqueID/Isolate,ID,Wild_Cap,location,postal.code,Lat,Long,English,Latin,family,order,NSamplesTested,BirdUSUV,BirdTestedWNV,DateInfo,DeathOrSampleDate
,,3191023001,Captive,Utrecht,3584,52.0907006,5.1215634,Eurasian Eagle-owl,Bubo bubo,Strigidae,Strigiformes,1,0,TRUE,DateSampling,23-10-2019
,,3191031026,Captive,Made,4921,51.6773008,4.7931811,Black-throated Finch,Poephila cincta,Estrildidae,Passeriformes,1,0,TRUE,DateDeath,29-10-2019
,,3191111008,Captive,Ede,6717,52.07168255,5.745510631,Budgerigar,Melopsittacus undulatus,Psittaculidae,Psittaciformes,1,0,TRUE,DateDeath,08-11-2019
,,3191113005,Captive,Groningen,9713,53.2190652,6.5680077,Cockatoo,Cacatua (genus),Cacatuidae,Psittaciformes,2,0,TRUE,DateDeath,11-11-2019
,,3191113017,Captive,Woerden,3442,52.0859261,4.8832939,Senegal Parrot,Poicephalus senegalus,Psittacidae,Psittaciformes,1,0,TRUE,DateDeath,12-11-2019
,,3191115031,Captive,Rotterdam,3053,51.9244424,4.47775,Rock Pigeon,Columba livia domestica,Columbidae,Columbiformes,1,0,TRUE,DateDeath,15-11-2019
,,3191115032,Captive,Rotterdam,3053,51.9244424,4.47775,Rock Pigeon,Columba livia domestica,Columbidae,Columbiformes,1,0,TRUE,DateDeath,15-11-2019
,,3191120008,Captive,Overberg,3959,52.0390484,5.4964645,Blue-and-yellow Macaw,Ara ararauna,Psittacidae,Psittaciformes,2,0,TRUE,DateDeath,19-11-2019
,,3191122008,Captive,Bennekom,6721,52.0015947,5.6756511,Palm Cockatoo,Probosciger aterrimus,Cacatuidae,Psittaciformes,2,0,TRUE,DateDeath,20-11-2019
,,3191129035,Captive,Schalkwijk,3998,51.9931917,5.1907825,Chicken,Gallus gallus domesticus,Phasianidae,Galliformes,1,0,TRUE,DateDeath,29-11-2019
,,3191202042,Captive,Amsterdam,1067,52.3730796,4.8924534,Gang-gang Cockatoo,Callocephalon fimbriatum,Psittacidae,Psittaciformes,2,0,TRUE,DateDeath,29-11-2019
,,3191203036,Captive,Purmerend,1448,52.5024789,4.9614827,Red-fronted Parrot,Poicephalus gulielmi,Psittacidae,Psittaciformes,1,0,TRUE,DateDeath,02-12-2019
,,3191206011,Captive,Katwijk,2223,52.18985485,4.414558264,Rock Pigeon,Columba livia domestica,Columbidae,Columbiformes,1,0,TRUE,DateDeath,06-12-2019
,,3191206013,Captive,Katwijk,2223,52.18985485,4.414558264,Rock Pigeon,Columba livia domestica,Columbidae,Columbiformes,1,0,TRUE,DateDeath,06-12-2019
,,3191210028,Captive,Barneveld,3771,52.17150665,5.645439249,Chicken,Gallus gallus domesticus,Phasianidae,Galliformes,1,0,TRUE,DateDeath,09-12-2019
,,3191210029,Captive,Barneveld,3771,52.17150665,5.645439249,Chicken,Gallus gallus domesticus,Phasianidae,Galliformes,1,0,TRUE,DateDeath,09-12-2019
,,3191210030,Captive,Barneveld,3771,52.17150665,5.645439249,Chicken,Gallus gallus domesticus,Phasianidae,Galliformes,1,0,TRUE,DateDeath,09-12-2019
,,3191218005,Captive,Eibergen,7151,52.1032685,6.6511683,Black Swan,Cygnus atratus,Anatidae,Anseriformes,1,0,TRUE,DateDeath,15-12-2019
,,3191220002,Captive,Winterswijk,7101,51.96802135,6.737872334,Columbidae,Columbidae (fam),Columbidae,Columbiformes,1,0,TRUE,DateSampling,20-12-2019
,,3191227011,Captive,Den Haag,2586,52.0799838,4.3113461,Humboldt's Penguin,Spheniscus humboldti,Spheniscidae,Sphenisciformes,1,0,TRUE,DateSampling,27-12-2019
,,3200107003,Captive,Erica,7887,52.7158137,6.926866,Ducorps's Cockatoo,Cacatua ducorpsi,Cacatuidae,Psittaciformes,1,0,TRUE,DateDeath,03-01-2020
,,3200107030,Captive,Waalwijk,5141,51.68733715,5.017307939,Budgerigar,Melopsittacus undulatus,Psittaculidae,Psittaciformes,1,0,TRUE,DateDeath,06-01-2020
,,3200114002,Captive,Houten,3995,52.0271433,5.1620637,Grey Parrot,Psittacus erithacus,Psittacidae,Psittaciformes,1,0,TRUE,DateDeath,12-01-2020
,,16NL3524-1,Captive,Unknown,,NA,NA,Great Grey Owl,Strix nebulosa,Strigidae,Strigiformes,3,0,TRUE,DateDeath,21-01-2020
,,3200129020,Captive,Utrecht,3584,52.0907006,5.1215634,Zebra Finch,Taeniopygia (genus),Estrildidae,Passeriformes,1,0,TRUE,DateSampling,29-01-2020
