Row,INSDC Sequence accession,ID,applicant,DeathOrSampleDate,DateInfo,English,Dutch,Latin,family,order,location,province,Lat,Long,BirdUSUV,BirdTestedWNV
924,,AS20221918,DWHC,15-09-2022,DateFound,Blue Tit,Pimpelmees,Cyanistes caeruleus,Paridae,Passeriformes,Zundert,Brabant,51.47,4.67,1,TRUE
925,,AS20221894,DWHC,16-09-2022,DateFound,Common Wood Pigeon,Houtduif,Columba palumbus,Columbidae,Columbiformes,Veenendaal,Utrecht,52,5.55,0,TRUE
926,,AS20221994,DWHC,19-09-2022,DateFound,House Sparrow,Huismus,Passer domesticus,Passeridae,Passeriformes,Baarlo,Limburg,51.33,6.09,1,TRUE
927,,AS20221942,DWHC,20-09-2022,DateFound,Common Blackbird,Merel,Turdus merula,Turdidae,Passeriformes,Ede,Gelderland,52.03,5.66,1,TRUE
928,,AS20221974,DWHC,20-09-2022,DateFound,Common Blackbird,Merel,Turdus merula,Turdidae,Passeriformes,Mheer,Limburg,50.78,5.8,1,TRUE
929,,AS20221999,DWHC,22-09-2022,DateFound,Song Thrush,Zanglijster,Turdus philomelos,Turdidae,Passeriformes,Enschede,Overijssel,52.26,6.79,1,TRUE
930,,AS20221989,DWHC,19-09-2022,DateFound,Common Starling,Spreeuw,Sturnus vulgaris,Sturnidae,Passeriformes,Barendrecht,Z-Holland,51.85,4.54,1,TRUE
931,,AS20221928,DWHC,25-09-2022,DateFound,Common Blackbird,Merel,Turdus merula,Turdidae,Passeriformes,Naarden,N-Holland,52.34,5.2,1,TRUE
932,,AS20221958,DWHC,25-09-2022,DateFound,Common Blackbird,Merel,Turdus merula,Turdidae,Passeriformes,Heelsum,Gelderland,51.98,5.68,1,TRUE
933,,AS20221964,DWHC,26-09-2022,DateFound,Common Wood Pigeon,Houtduif,Columba palumbus,Columbidae,Columbiformes,Bennekom,Gelderland,52,5.64,1,TRUE
934,,AS20221957,DWHC,25-09-2022,DateFound,Common Blackbird,Merel,Turdus merula,Turdidae,Passeriformes,Oosterbeek,Gelderland,51.99,5.85,1,TRUE
935,,AS20221969,DWHC,26-09-2022,DateFound,Common Blackbird,Merel,Turdus merula,Turdidae,Passeriformes,Oeffelt,Brabant,51.7,5.94,0,TRUE
936,,AS20221952,DWHC,27-09-2022,DateFound,Eurasian Collared Dove,Turkse Tortel,Streptopelia decaocto,Columbidae,Columbiformes,Leusden,Utrecht,52.12,5.41,1,TRUE
937,,AS20221937,DWHC,29-09-2022,DateFound,Great Tit,Koolmees,Parus major,Paridae,Passeriformes,Zandhuizen,Friesland,52.92,6.16,0,TRUE
938,,AS20221932,DWHC,03-10-2022,DateFound,House Sparrow,Huismus,Passer domesticus,Passeridae,Passeriformes,Boxmeer,Brabant,51.64,5.93,0,TRUE
939,,AS20221979,DWHC,03-10-2022,DateFound,Song Thrush,Zanglijster,Turdus philomelos,Turdidae,Passeriformes,Santpoort,N-Holland,52.42,4.63,1,TRUE
940,,AS20222003,DWHC,03-10-2022,DateFound,Common Wood Pigeon,Houtduif,Columba palumbus,Columbidae,Columbiformes,Purmerend,N-Holland,52.49,4.95,0,TRUE
941,,AS20221947,DWHC,07-10-2022,DateFound,Song Thrush,Zanglijster,Turdus philomelos,Turdidae,Passeriformes,Noordwijkerhout,Z-Holland,52.26,4.5,0,TRUE
