PRIMARYSAMPLEBARCODE,COLLECTIONDATE,MATTYPE,SPECIES,SPECIES EN,SPECIES LATIN,Location,BirdId
18TV1337,24-10-2018,Cloacal/throat swab,Zwarte Kraai,Carrion Crow,Corvus corone,"Amsterdam, Nederland",11388706
18TV1333,24-10-2018,Cloacal/throat swab,Meerkoet,Eurasian Coot,Fulica atra,"Amsterdam, Nederland",11388713
18TV1338,24-10-2018,Cloacal/throat swab,Meerkoet,Eurasian Coot,Fulica atra,"Amsterdam, Nederland",11388720
18TV0572,27-10-2018,Cloacal/throat swab,Smient,Eurasian Wigeon,Mareca penelope,"Uitgeest, Nederland",11470150
18TV1538,27-10-2018,Cloacal/throat swab,Smient,Eurasian Wigeon,Mareca penelope,Nederland,
18TV1508,28-10-2018,Cloacal/throat swab,Merel,Common Blackbird,Turdus merula,"Naarden, Nederland",11688772
18TV1477,27-10-2018,Cloacal/throat swab,Kerkuil,Common Barn Owl,Tyto alba,"Utrecht, Nederland",11483124
18TV1111,28-10-2018,Cloacal/throat swab,Kauw,Western Jackdaw,Coloeus monedula,"Sibrandabuorren, Nederland",11396047
18TV1526,29-10-2018,Cloacal/throat swab,Koperwiek,Redwing,Turdus iliacus,"Eastermar, Nederland",11398877
18TV1117,28-10-2018,Cloacal/throat swab,Kauw,Western Jackdaw,Coloeus monedula,"Sibrandabuorren, Nederland",11396117
18TV0385,21-10-2018,Cloacal/throat swab,Merel,Common Blackbird,Turdus merula,"Almere, Nederland",11390453
18TV1452,27-10-2018,Cloacal/throat swab,Knobbelzwaan,Mute swan,Cygnus olor,"Utrecht, Nederland",11483123
18TV1115,28-10-2018,Cloacal/throat swab,Kauw,Western Jackdaw,Coloeus monedula,"Sibrandabuorren, Nederland",11396165
18TV1070,28-10-2018,Cloacal/throat swab,Merel,Common Blackbird,Turdus merula,"Castricum, Nederland",11441029
18TV1465,28-10-2018,Cloacal/throat swab,Kerkuil,Common Barn Owl,Tyto alba,"Utrecht, Nederland",11483125
