,ID,capture.date,English,Dutch,Latin,family,order,Lat,Long,PMA.USUV.Ab6000,PMA.WNV.Ab6000,VNT.USUV,VNT.WNV,FRNT.USUV,FRNT.WNV,SeroResult,BirdId
2380,21TV2812,19-07-2021,Common Starling,Spreeuw,Sturnus vulgaris,Sturnidae,Passeriformes,52.34310038,4.524650574,0,0,NA,NA,NA,NA,NA,12712306
2381,20TV6672,17-07-2021,Great Spotted Woodpecker,Grote Bonte Specht,Dendrocopos major,Picidae,Piciformes,52.13448715,5.006367207,0,0,NA,NA,NA,NA,NA,12719489
2382,21TV3750,17-07-2021,Song Thrush,Zanglijster,Turdus philomelos,Turdidae,Passeriformes,52.13448715,5.006367207,1,0,NA,NA,10,20,Negative,12719485
2383,20TV5072,17-07-2021,Song Thrush,Zanglijster,Turdus philomelos,Turdidae,Passeriformes,52.13448715,5.006367207,1,0,NA,NA,20,10,Negative,12719483
2384,20TV6671,17-07-2021,Song Thrush,Zanglijster,Turdus philomelos,Turdidae,Passeriformes,52.13616943,5.003493786,1,0,NA,NA,20,20,Negative,12719484
2385,21TV3751,17-07-2021,Eurasian Blackbird,Merel,Turdus merula,Turdidae,Passeriformes,52.13616943,5.003493786,1,1,NA,NA,10,160,WNV,11962755
2386,21TV3770,17-07-2021,Eurasian Blackbird,Merel,Turdus merula,Turdidae,Passeriformes,52.13448715,5.006367207,1,1,NA,NA,10,10,Negative,12718485
2387,21TV3756,17-07-2021,Eurasian Blackbird,Merel,Turdus merula,Turdidae,Passeriformes,52.13448715,5.006367207,1,0,NA,NA,10,10,Negative,12718783
2388,20TV6688,17-07-2021,Eurasian Blackbird,Merel,Turdus merula,Turdidae,Passeriformes,52.13448715,5.006367207,1,1,NA,NA,20,20,Negative,12719487
2389,20TV6693,17-07-2021,Eurasian Blackbird,Merel,Turdus merula,Turdidae,Passeriformes,52.13616943,5.003493786,1,0,NA,NA,40,40,Negative,12719488
2390,21TV3773,17-07-2021,Tawny Owl,Bosuil,Strix aluco,Strigidae,Strigiformes,52.13448715,5.006367207,1,1,NA,NA,10,10,Negative,12719479
2391,20TV1417,22-07-2021,Eurasian Jay,Gaai,Garrulus glandarius,Corvidae,Passeriformes,52.34310038,4.524650574,0,0,NA,NA,NA,NA,NA,12711509
2392,20TV1422,22-07-2021,Song Thrush,Zanglijster,Turdus philomelos,Turdidae,Passeriformes,52.34310038,4.524650574,0,0,NA,NA,NA,NA,NA,12656633
2393,20TV2301,22-07-2021,Great Spotted Woodpecker,Grote Bonte Specht,Dendrocopos major,Picidae,Piciformes,52.2369988,7.022559643,0,0,NA,NA,NA,NA,NA,12576951
